state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_bill,matches_keyword
CA,community land trust,AB 2364,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2364,Bill Text - AB-2364 Short-Term Rental Facilitator Act of 2025.,AB 2364,Introduced,True,False
CA,community land trust,AB 2365,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2365,Bill Text - AB-2365 Education-related positions: dismissals: egregious misconduct: employment prohibition.,AB 2365,Introduced,True,False
CA,community land trust,AB 2366,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2366,Bill Text - AB-2366 Administrative Procedure Act: proposed regulations: cost-of-living impact on residents of the state.,AB 2366,Introduced,True,False
CA,community land trust,AB 2367,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2367,Bill Text - AB-2367 State employment: workweeks.,AB 2367,Introduced,True,False
CA,community land trust,AB 2368,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2368,Bill Text - AB-2368 Indigent health care: information and planning.,AB 2368,Introduced,True,False
CA,community land trust,AB 2369,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2369,Bill Text - AB-2369 Public utilities.,AB 2369,Introduced,True,False
CA,community land trust,AB 2370,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2370,Bill Text - AB-2370 Public Safety Communications Division.,AB 2370,Introduced,True,False
CA,community land trust,AB 2371,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2371,Bill Text - AB-2371 Transportation.,AB 2371,Introduced,True,False
CA,community land trust,AB 2372,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2372,Bill Text - AB-2372 Vehicles: tolls.,AB 2372,Introduced,True,False
CA,community land trust,AB 2373,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2373,Bill Text - AB-2373 The California Coastal Act: local coastal program: sea level rise plan: neighborhood-scale adaptation approach.,AB 2373,Introduced,True,False
CA,community land trust,AB 2374,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2374,Bill Text - AB-2374 Postsecondary education: Designation of California Asian American- and Native American Pacific Islander-Serving Institutions.,AB 2374,Introduced,True,False
CA,community land trust,AB 2375,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2375,Bill Text - AB-2375 Alcoholic beverages: beer.,AB 2375,Introduced,True,False
CA,community land trust,AB 2376,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2376,Bill Text - AB-2376 Vehicles: licensure.,AB 2376,Introduced,True,False
CA,community land trust,AB 2377,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2377,Bill Text - AB-2377 Tax incentives: new manufacturing operations.,AB 2377,Introduced,True,False
CA,community land trust,AB 2378,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2378,Bill Text - AB-2378 California Violence Intervention and Prevention Grant Program.,AB 2378,Introduced,True,False
CA,community land trust,AB 2379,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2379,Bill Text - AB-2379 Childcare workers: immigration rights.,AB 2379,Introduced,True,False
CA,community land trust,AB 2380,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2380,Bill Text - AB-2380 Pest control: registration fees.,AB 2380,Introduced,True,False
CA,community land trust,AB 2381,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2381,Bill Text - AB-2381 Local Agency Public Construction Act: municipal water districts: sanitation districts: lowest responsible bidder.,AB 2381,Introduced,True,False
CA,community land trust,AB 2382,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2382,Bill Text - AB-2382 Electronic death registration system.,AB 2382,Introduced,True,False
CA,community land trust,AB 2383,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2383,Bill Text - AB-2383 Electricity: large energy use facilities.,AB 2383,Introduced,True,False
CA,community land trust,AB 2384,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2384,Bill Text - AB-2384 Crimes: human trafficking.,AB 2384,Introduced,True,False
CA,community land trust,AB 2385,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2385,Bill Text - AB-2385 Local reconstruction agencies.,AB 2385,Introduced,True,False
CA,community land trust,AB 2386,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2386,Bill Text - AB-2386 License to practice medicine: Licensed Physicians from Mexico Program and Provisional License for Qualified International Physicians Act.,AB 2386,Introduced,True,False
CA,community land trust,AB 2387,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2387,Bill Text - AB-2387 California Dream for All Program: first-generation homebuyers.,AB 2387,Introduced,True,False
CA,community land trust,AB 2388,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2388,Bill Text - AB-2388 Alcoholic beverages: applications for licenses.,AB 2388,Introduced,True,False
CA,community land trust,AB 2389,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2389,Bill Text - AB-2389 Property taxation: active solar energy systems: customer sited: extension.,AB 2389,Introduced,True,False
CA,community land trust,AB 2390,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2390,Bill Text - AB-2390 Streamlined housing approvals: hazardous waste sites.,AB 2390,Introduced,True,False
CA,community land trust,AB 2391,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2391,Bill Text - AB-2391 Health care: workforce training programs.,AB 2391,Introduced,True,False
CA,community land trust,AB 2392,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2392,Bill Text - AB-2392 Postsecondary education: artificial intelligence.,AB 2392,Introduced,True,False
CA,community land trust,AB 2393,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2393,Bill Text - AB-2393 Damages for breach of contract.,AB 2393,Introduced,True,False
CA,community land trust,AB 2394,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2394,Bill Text - AB-2394 Personal Income Tax Law: exclusions: real property.,AB 2394,Introduced,True,False
CA,community land trust,AB 2395,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2395,Bill Text - AB-2395 Child support: compromise of arrears program.,AB 2395,Introduced,True,False
CA,community land trust,AB 2396,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2396,Bill Text - AB-2396 Elections Code: interpretation.,AB 2396,Introduced,True,False
CA,community land trust,AB 2397,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2397,Bill Text - AB-2397 Planning and zoning.,AB 2397,Introduced,True,False
CA,community land trust,AB 2398,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2398,Bill Text - AB-2398 Practice of medicine: Physician Graduate License Act.,AB 2398,Introduced,True,False
CA,community land trust,AB 2399,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2399,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts.,AB 2399,Introduced,True,True
CA,community land trust,AB 2400,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2400,Bill Text - AB-2400 General plan: annual report: suite-style student housing quarters.,AB 2400,Introduced,True,False
CA,community land trust,AB 2401,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2401,Bill Text - AB-2401 Video imaging of parking violations.,AB 2401,Introduced,True,False
CA,community land trust,AB 2402,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2402,Bill Text - AB-2402 Health studio contracts: fee limits: multiservice health club studio.,AB 2402,Introduced,True,False
CA,community land trust,AB 2403,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2403,Bill Text - AB-2403 Personal Income Tax Law and Corporation Tax Law: credits: commercial production.,AB 2403,Introduced,True,False
CA,community land trust,AB 2404,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2404,"Bill Text - AB-2404 State advisory groups, boards, and committees: San Joaquin Valley.",AB 2404,Introduced,True,False
CA,community land trust,AB 2405,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2405,Bill Text - AB-2405 Criminal prosecution: statutes of limitation.,AB 2405,Introduced,True,False
CA,community land trust,AB 2406,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2406,Bill Text - AB-2406 Veterans: county and city buildings.,AB 2406,Introduced,True,False
CA,community land trust,AB 2407,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2407,Bill Text - AB-2407 High-speed rail.,AB 2407,Introduced,True,False
CA,community land trust,AB 2408,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2408,Bill Text - AB-2408 Energy: billing.,AB 2408,Introduced,True,False
CA,community land trust,AB 2409,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2409,Bill Text - AB-2409 Public officers: meme coins.,AB 2409,Introduced,True,False
